3.683	3.261	3.683	3.557	5.259	5.257
5.151	7.777	5.418	8.908	7.400	7.454
10.28	8.897	6.097	10.330	9.336	9.462
21.29	22.02	14.86	19.219	19.220	19.155
88.12	86.490	99.25	90.23	89.90	90.78
0.194	0.070	0.131	0.117	0.285	0.197
0.597	0.752	0.696	0.703	0.522	0.620
-0.226	-0.257	-0.263	-0.303	-0.299	-0.326
-0.565	-0.565	-0.564	-0.517	-0.508	-0.491
0.375	0.384	0.486	0.453	0.496	0.577
1.014	1.078	1.265	0.901	1.021	1.114
-0.723	-0.723	-0.997	-0.798	-0.921	-1.099
-0.666	-0.739	-0.754	-0.556	-0.596	-0.592
5.571	4.773	7.919	6.456	7.424	8.710
3.26	2.65	3.87	2.71	3.29	3.70
7.0	5.5	22.0	1.4	16.0	28.0
2.66	2.79	1.62	2.17	1.66	1.28
5.439	5.456	1.762	5.601	15.890	20.954
1.880	5.447	1.872	7.169	6.828	8.384
89.778	96.817	99.977	459.095	1029.64	477.332
66.061	74.492	33.264	3.758	9.871	6.773
0.58	0.39	0.36	0.85	0.73	0.39
